"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"13.01.2023","98,90","98,90","98,90","98,73","-0,20%"
"12.01.2023","99,10","99,08","99,10","99,08","0,43%"
"11.01.2023","98,68","98,87","98,87","98,68","-0,18%"
"10.01.2023","98,86","98,85","98,86","98,68","0,00%"
"09.01.2023","98,86","98,85","98,86","98,84","-0,27%"
"06.01.2023","99,12","99,12","99,12","99,12","0,69%"
"05.01.2023","98,44","98,86","98,86","98,44","-0,43%"
"04.01.2023","98,87","98,88","98,88","98,72","0,00%"
"03.01.2023","98,87","98,87","98,87","98,79","-0,01%"
"02.01.2023","98,88","98,74","99,08","98,74","0,12%"
"30.12.2022","98,76","98,76","98,76","98,76","0,02%"
"29.12.2022","98,74","99,14","99,14","98,74","0,00%"
"28.12.2022","98,74","98,77","99,27","98,74","-1,20%"
"27.12.2022","99,94","99,20","99,94","99,20","0,71%"
"23.12.2022","99,23","98,80","99,23","98,71","0,44%"
"22.12.2022","98,80","99,16","99,16","98,80","-0,14%"
"21.12.2022","98,94","98,80","98,94","98,79","0,09%"
"20.12.2022","98,85","98,96","99,07","98,72","-0,08%"
"19.12.2022","98,93","98,70","98,93","98,70","-0,12%"
"15.12.2022","99,05","99,01","99,05","99,01","0,05%"
"14.12.2022","99,00","98,83","99,00","98,83","0,02%"
"13.12.2022","98,98","98,98","98,98","98,98","0,03%"
"09.12.2022","98,95","98,95","98,95","98,95","0,05%"
"08.12.2022","98,90","98,90","98,90","98,90","0,13%"
"07.12.2022","98,77","98,99","98,99","98,77","-0,34%"
"06.12.2022","99,10","98,95","99,10","98,95","-0,04%"
"01.12.2022","99,15","98,86","99,15","98,86","0,23%"
"30.11.2022","98,92","98,84","98,92","98,84","-0,28%"
"29.11.2022","99,20","98,72","99,24","98,71","0,54%"
"28.11.2022","98,67","98,67","98,67","98,67","0,00%"
"23.11.2022","98,67","98,89","98,89","98,67","-0,14%"
"22.11.2022","98,80","98,80","98,90","98,67","-0,12%"
"21.11.2022","98,92","98,92","98,92","98,92","-0,14%"
"16.11.2022","99,06","98,92","99,06","98,79","0,14%"
"15.11.2022","98,92","98,90","98,92","98,66","0,03%"
"14.11.2022","98,89","98,90","98,90","98,89","-0,11%"
"11.11.2022","99,00","99,00","99,00","99,00","0,46%"
"09.11.2022","98,55","98,75","98,75","98,55","-0,16%"
"08.11.2022","98,70","98,78","98,78","98,70","-0,05%"
"07.11.2022","98,75","98,60","98,75","98,60","0,15%"
"04.11.2022","98,60","98,60","98,60","98,60","-0,29%"
"03.11.2022","98,88","98,88","98,88","98,88","0,08%"
"02.11.2022","98,80","98,80","98,80","98,80","0,40%"
"01.11.2022","98,40","98,40","98,40","98,40","-0,05%"
"28.10.2022","98,45","98,65","98,65","98,45","-0,50%"
"25.10.2022","98,94","98,64","98,94","98,32","0,33%"
"21.10.2022","98,62","98,62","98,62","98,62","-0,24%"
"19.10.2022","98,86","98,86","98,86","98,86","0,00%"
"18.10.2022","98,86","99,39","99,39","98,71","0,15%"
"17.10.2022","98,71","98,58","98,71","98,58","-0,09%"
"14.10.2022","98,80","98,82","98,82","98,80","0,04%"
"13.10.2022","98,76","98,77","98,77","98,76","-0,14%"
"11.10.2022","98,90","98,80","98,90","98,80","0,08%"
"10.10.2022","98,82","98,90","98,90","98,82","0,02%"
"07.10.2022","98,80","98,90","98,90","98,80","0,00%"
"06.10.2022","98,80","98,80","98,93","98,80","-0,22%"
"05.10.2022","99,02","99,18","99,21","99,02","0,02%"
"04.10.2022","99,00","98,79","99,00","98,79","0,15%"
"03.10.2022","98,85","98,78","98,85","98,78","-0,17%"
"30.09.2022","99,02","99,43","99,43","99,02","0,10%"
"29.09.2022","98,92","98,92","98,92","98,92","0,22%"
"27.09.2022","98,70","98,84","98,84","98,45","0,05%"
"26.09.2022","98,65","98,55","98,88","98,55","-0,21%"
"23.09.2022","98,86","98,49","98,86","98,49","-0,10%"
"20.09.2022","98,96","98,96","98,96","98,96","-0,40%"
"19.09.2022","99,35","98,86","99,35","98,86","0,25%"
